"UF","cor_raca","quantidade_de_pessoas"
"Acre","""Preta""","69498"
"Acre","""Parda""","3083718"
"Acre","""Não declarada""","564828"
"Acre","""Indígena""","247456"
"Acre","""Branca""","564828"
"Acre","""Amarela""","22836"
"Alagoas","""Preta""","1868232"
"Alagoas","""Parda""","49009164"
"Alagoas","""Não declarada""","11069244"
"Alagoas","""Indígena""","481950"
"Alagoas","""Branca""","11069244"
"Alagoas","""Amarela""","248472"
"Amapá","""Preta""","93648"
"Amapá","""Parda""","2078992"
"Amapá","""Não declarada""","399760"
"Amapá","""Indígena""","86144"
"Amapá","""Branca""","399760"
"Amapá","""Amarela""","7792"
"Amazonas","""Preta""","621426"
"Amazonas","""Parda""","50582080"
"Amazonas","""Não declarada""","5711626"
"Amazonas","""Indígena""","4966262"
"Amazonas","""Branca""","5711626"
"Amazonas","""Amarela""","95852"
"Bahia","""Preta""","121341996"
"Bahia","""Parda""","666284268"
"Bahia","""Não declarada""","126009060"
"Bahia","""Indígena""","6453909"
"Bahia","""Branca""","126009060"
"Bahia","""Amarela""","6162843"
"Ceará","""Preta""","4492912"
"Ceará","""Parda""","259257472"
"Ceará","""Não declarada""","59149744"
"Ceará","""Indígena""","1823808"
"Ceará","""Branca""","59149744"
"Ceará","""Amarela""","916688"
"Distrito Federal","""Preta""","21643"
"Distrito Federal","""Parda""","273040"
"Distrito Federal","""Não declarada""","188210"
"Distrito Federal","""Indígena""","717"
"Distrito Federal","""Branca""","188210"
"Distrito Federal","""Amarela""","3089"
"Espírito Santo","""Preta""","3608670"
"Espírito Santo","""Parda""","37935846"
"Espírito Santo","""Não declarada""","21661458"
"Espírito Santo","""Indígena""","160524"
"Espírito Santo","""Branca""","21661458"
"Espírito Santo","""Amarela""","178620"
"Goiás","""Preta""","7324896"
"Goiás","""Parda""","134895822"
"Goiás","""Não declarada""","73038384"
"Goiás","""Indígena""","232224"
"Goiás","""Branca""","73038384"
"Goiás","""Amarela""","1825074"
"Maranhão","""Preta""","9279571"
"Maranhão","""Parda""","252170926"
"Maranhão","""Não declarada""","37327255"
"Maranhão","""Indígena""","4029039"
"Maranhão","""Branca""","37327255"
"Maranhão","""Amarela""","1421784"
"Mato Grosso","""Preta""","1427061"
"Mato Grosso","""Parda""","24745923"
"Mato Grosso","""Não declarada""","15913683"
"Mato Grosso","""Indígena""","2715519"
"Mato Grosso","""Branca""","15913683"
"Mato Grosso","""Amarela""","189504"
"Mato Grosso do Sul","""Preta""","941127"
"Mato Grosso do Sul","""Parda""","23025182"
"Mato Grosso do Sul","""Não declarada""","23799303"
"Mato Grosso do Sul","""Indígena""","2345668"
"Mato Grosso do Sul","""Branca""","23799303"
"Mato Grosso do Sul","""Amarela""","156657"
"Minas Gerais","""Preta""","216866720"
"Minas Gerais","""Parda""","1674025295"
"Minas Gerais","""Não declarada""","1310854574"
"Minas Gerais","""Indígena""","5505262"
"Minas Gerais","""Branca""","1310854574"
"Minas Gerais","""Amarela""","9457211"
"Paraná","""Preta""","14858361"
"Paraná","""Parda""","199965633"
"Paraná","""Não declarada""","668939460"
"Paraná","""Indígena""","3504018"
"Paraná","""Branca""","668939460"
"Paraná","""Amarela""","4815930"
"Paraíba","""Preta""","4864968"
"Paraíba","""Parda""","111963617"
"Paraíba","""Não declarada""","42180896"
"Paraíba","""Indígena""","1569697"
"Paraíba","""Branca""","42180896"
"Paraíba","""Amarela""","1024016"
"Pará","""Preta""","6339600"
"Pará","""Parda""","152849664"
"Pará","""Não declarada""","24955776"
"Pará","""Indígena""","2681280"
"Pará","""Branca""","24955776"
"Pará","""Amarela""","641520"
"Pernambuco","""Preta""","10860610"
"Pernambuco","""Parda""","177730055"
"Pernambuco","""Não declarada""","73748770"
"Pernambuco","""Indígena""","3566245"
"Pernambuco","""Branca""","73748770"
"Pernambuco","""Amarela""","1281125"
"Piauí","""Preta""","6330240"
"Piauí","""Parda""","115801728"
"Piauí","""Não declarada""","22259104"
"Piauí","""Indígena""","174496"
"Piauí","""Branca""","22259104"
"Piauí","""Amarela""","1323840"
"Rio Grande do Norte","""Preta""","2828813"
"Rio Grande do Norte","""Parda""","53170295"
"Rio Grande do Norte","""Não declarada""","32782434"
"Rio Grande do Norte","""Indígena""","284735"
"Rio Grande do Norte","""Branca""","32782434"
"Rio Grande do Norte","""Amarela""","671674"
"Rio Grande do Sul","""Preta""","49465913"
"Rio Grande do Sul","""Parda""","91299894"
"Rio Grande do Sul","""Não declarada""","748924827"
"Rio Grande do Sul","""Indígena""","5333804"
"Rio Grande do Sul","""Branca""","748924827"
"Rio Grande do Sul","""Amarela""","1560580"
"Rio de Janeiro","""Preta""","23416944"
"Rio de Janeiro","""Parda""","97228452"
"Rio de Janeiro","""Não declarada""","90351176"
"Rio de Janeiro","""Indígena""","216016"
"Rio de Janeiro","""Branca""","90351176"
"Rio de Janeiro","""Amarela""","668840"
"Rondônia","""Preta""","522288"
"Rondônia","""Parda""","11410048"
"Rondônia","""Não declarada""","4857164"
"Rondônia","""Indígena""","277784"
"Rondônia","""Branca""","4857164"
"Rondônia","""Amarela""","106808"
"Roraima","""Preta""","37185"
"Roraima","""Parda""","1302255"
"Roraima","""Não declarada""","259125"
"Roraima","""Indígena""","374190"
"Roraima","""Branca""","259125"
"Roraima","""Amarela""","4020"
"Santa Catarina","""Preta""","11980245"
"Santa Catarina","""Parda""","44537330"
"Santa Catarina","""Não declarada""","335118230"
"Santa Catarina","""Indígena""","1402725"
"Santa Catarina","""Branca""","335118230"
"Santa Catarina","""Amarela""","723930"
"Sergipe","""Preta""","1242600"
"Sergipe","""Parda""","22543875"
"Sergipe","""Não declarada""","4553100"
"Sergipe","""Indígena""","52050"
"Sergipe","""Branca""","4553100"
"Sergipe","""Amarela""","165675"
"São Paulo","""Preta""","171123660"
"São Paulo","""Parda""","1461594510"
"São Paulo","""Não declarada""","3591588975"
"São Paulo","""Indígena""","8145060"
"São Paulo","""Branca""","3591588975"
"São Paulo","""Amarela""","26574000"
"Tocantins","""Preta""","2248464"
"Tocantins","""Parda""","36936470"
"Tocantins","""Não declarada""","10074859"
"Tocantins","""Indígena""","1079891"
"Tocantins","""Branca""","10074859"
"Tocantins","""Amarela""","340411"
